1,Monitor 24 Pulgadas,649900,45,Electronica,Computador
2,Teclado Mecanico RGB,189900,120,Electronica,Accesorio
3,Mouse Inalambrico,79900,200,Electronica,Accesorio
4,Laptop Core i5,2499900,30,Electronica,Computador
5,Camisa Oxford Manga Larga,89900,85,Ropa,Camisa
6,Pantalon Jean Slim Fit,149900,60,Ropa,Pantalon
7,Zapatillas Running Pro,299900,40,Ropa,Calzado
8,Sofa Esquinero 3 Puestos,1850000,8,Hogar,Mueble
9,Arroz Integral 1kg,12900,300,Alimentos,No Perecedero
10,Celular Samsung Galaxy A35,1299900,55,Electronica,Celular
11,Disco Duro SSD 500GB,249900,90,Electronica,Computador
12,Audifonos Bluetooth,149900,150,Electronica,Accesorio
13,Camiseta Polo Slim,59900,110,Ropa,Camisa
14,Pantaloneta Deportiva,49900,95,Deportes,Ropa Deportiva
15,Licuadora 800W,189900,35,Hogar,Electrodomestico
16,Aceite de Oliva 500ml,35900,180,Alimentos,No Perecedero
17,Celular iPhone 15,4999900,20,Electronica,Celular
18,Balon de Futbol,89900,70,Deportes,Equipamiento
19,Mesa de Comedor 6 Puestos,1250000,5,Hogar,Mueble
20,Leche Entera 1L,4900,500,Alimentos,Perecedero
21,Tarjeta Grafica RTX 4060,2199900,15,Electronica,Computador
22,Webcam Full HD 1080p,149900,65,Electronica,Accesorio
23,Blusa Floral Mujer,69900,75,Ropa,Camisa
24,Jean Skinny Mujer,129900,50,Ropa,Pantalon
25,Bicicleta Montanera 29,899900,12,Deportes,Equipamiento
26,Nevera No Frost 320L,2850000,6,Hogar,Electrodomestico
27,Jugo de Naranja 1L,8900,400,Alimentos,Bebida
28,Tablet Samsung Tab A9,699900,28,Electronica,Celular
29,Maletero Deportivo 40L,129900,55,Deportes,Accesorio
30,Cuadro Decorativo Abstracto,189900,22,Hogar,Decoracion
31,Pasta Espagueti 500g,5900,350,Alimentos,No Perecedero
32,RAM DDR5 16GB,349900,80,Electronica,Computador
33,Hub USB-C 7 en 1,99900,140,Electronica,Accesorio
34,Camisa Cuadros Flannel,79900,90,Ropa,Camisa
35,Pantalon Cargo Hombre,119900,65,Ropa,Pantalon
36,Lavadora 12kg Automatica,1950000,7,Hogar,Electrodomestico
37,Agua Mineral 600ml,3900,0,Alimentos,Bebida
38,Celular Xiaomi Redmi 13,799900,42,Electronica,Celular
39,Guantes de Boxeo,99900,35,Deportes,Equipamiento
40,Lampara de Mesa LED,79900,60,Hogar,Decoracion
41,Atun en Lata 160g,8900,250,Alimentos,No Perecedero
42,Procesador Intel i7 13va,1799900,18,Electronica,Computador
43,Cargador Inalambrico 15W,69900,175,Electronica,Accesorio
44,CAMISA MANDARIN PREMIUM,109900,45,Ropa,Camisa
45,PANTALON FORMAL EJECUTIVO,189900,30,Ropa,Pantalon
46,Microondas Digital 20L,399900,20,Hogar,Electrodomestico
47,Cerveza Artesanal 330ml,9900,220,Alimentos,Bebida
48,Celular Motorola Edge 40,1099900,35,Electronica,Celular
49,Colchoneta Yoga Antideslizante,79900,80,Deportes,Accesorio
50,Espejo Decorativo Redondo,149900,18,Hogar,Decoracion
51,Cafe Molido 500g,29900,160,Alimentos,No Perecedero
52,Monitor Curvo 27 Pulgadas,1150000,22,Electronica,Computador
53,Pad Mouse XL Gaming,59900,200,Electronica,Accesorio
54,VESTIDO CASUAL MUJER,99900,55,Ropa,Camisa
55,ZAPATOS CUERO FORMAL,349900,28,Ropa,Calzado
56,Horno Electrico 45L,599900,12,Hogar,Electrodomestico
57,Leche de Coco 400ml,12900,130,Alimentos,Perecedero
58,Celular Realme C67,649900,48,Electronica,Celular
59,Raqueta de Tenis,229900,25,Deportes,Equipamiento
60,Cojin Decorativo Sala,49900,90,Hogar,Decoracion
61,Quinua Organica 500g,22900,95,Alimentos,No Perecedero
62,Fuente de Poder 750W,349900,40,Electronica,Computador
63,Soporte Monitor Articulado,159900,55,Electronica,Accesorio
64,Chaqueta Impermeable,249900,38,Ropa,Camisa
65,Licra Deportiva Mujer,69900,70,Deportes,Ropa Deportiva
66,Aspiradora Robot Smart,1450000,9,Hogar,Electrodomestico
67,Yogur Natural 200g,4900,280,Alimentos,Perecedero
68,Celular Google Pixel 8a,2299900,16,Electronica,Celular
69,Mancuernas Ajustables 20kg,399900,20,Deportes,Equipamiento
70,Jarron Ceramica Decorativo,89900,35,Hogar,Decoracion
71,Granola Artesanal 400g,29900,115,Alimentos,No Perecedero
72,Laptop Gamer RTX,5499900,8,Electronica,Computador
73,Camara Web Streaming 4K,499900,30,Electronica,Accesorio
74,Tenis Casual Urbano,199900,85,Ropa,Calzado
75,Camiseta Ciclismo Pro,89900,60,Deportes,Ropa Deportiva
76,Plancha de Ropa Vapor,159900,28,Hogar,Electrodomestico
77,Jugo Verde Detox 500ml,15900,190,Alimentos,Bebida
78,Celular Tecno Spark 20,499900,62,Electronica,Celular
79,Pesas Tobilleras 2kg,39900,100,Deportes,Accesorio
80,Alfombra Sala 2x3 Metros,599900,10,Hogar,Decoracion
81,Avena en Hojuelas 1kg,14900,220,Alimentos,No Perecedero
82,Disco Duro Externo 1TB,299900,50,Electronica,Computador
83,Ventilador USB de Escritorio,39900,180,Electronica,Accesorio
84,botines cuero mujer,279900,42,Ropa,Calzado
85,short deportivo hombre,44900,130,Deportes,Ropa Deportiva
86,Cafetera Express 15 Bares,899900,14,Hogar,Electrodomestico
87,Chocolate en Barra 100g,9900,300,Alimentos,No Perecedero
88,Celular Oppo A98,899900,38,Electronica,Celular
89,Cuerda para Saltar Pro,34900,155,Deportes,Accesorio
90,Mesa de Noche Madera,399900,16,Hogar,Mueble
91,Maiz Pira Microondas 100g,5900,420,Alimentos,Perecedero
92,teclado numerico compacto,49900,210,Electronica,Accesorio
93,calzado trail running,329900,33,Ropa,Calzado
94,Estante Flotante de Madera,119900,45,Hogar,Mueble
95,bolsa proteina whey 1kg,189900,27,Deportes,Accesorio
96,Impresora Multifuncional,649900,24,Electronica,Computador
97,Sudadera Hoodie Premium,159900,68,Ropa,Camisa
98,Silla Gamer Ergonomica,899900,11,Hogar,Mueble
99,pantalon jogger algodon,74900,95,Ropa,Pantalon
100,Energy Drink 473ml,7900,310,Alimentos,Bebida
